latitude;longitude;start_time(YYYYMMddHHmmZ);duration(ms)
51.214252;4.4116297;201402031948+0100;42896697
51.216328;4.39411;201402041459+0100;10510993
51.21426;4.4116206;201402041813+0100;49110449
51.216537;4.407556;201402051741+0100;877
51.1931;4.400447;201402051808+0100;2298246
51.207222;4.5510464;201402051851+0100;467667
51.05574;4.878962;201402051919+0100;278651
50.99719;4.802361;201402052016+0100;7353569
51.14818;4.8577724;201402052236+0100;288931
51.21115;4.490869;201402052251+0100;172068
51.21421;4.411591;201402052301+0100;150416
51.214245;4.411545;201402052308+0100;22022396
51.214264;4.411595;201402060524+0100;25859587
51.21425;4.411607;201402061244+0100;2379400
51.215412;4.409099;201402061327+0100;804
51.21508;4.4022727;201402061337+0100;3791605
51.21838;4.405287;201402061454+0100;60256
51.218548;4.4084916;201402061501+0100;60994
51.21809;4.4097896;201402061508+0100;2886687
51.218136;4.410968;201402061602+0100;949712
51.216957;4.4108124;201402061622+0100;238406
51.21427;4.4115505;201402061636+0100;55345336
51.21632;4.394156;201402070808+0100;38999393
51.214256;4.411599;201402071906+0100;68263
51.215794;4.4024296;201402071916+0100;6813982
51.220592;4.401008;201402072124+0100;4380625
51.220608;4.402775;201402072241+0100;3160507
51.21423;4.4115696;201402072351+0100;66187557
51.135715;4.144014;201402081830+0100;5546
51.060772;3.861407;201402081839+0100;108340
50.982086;3.6421647;201402081849+0100;168183
50.984203;3.5272546;201402081908+0100;928055
50.984207;3.5272548;201402081931+0100;221949
50.984203;3.5272539;201402081941+0100;123434
50.984203;3.5272539;201402081947+0100;60070
50.984203;3.5272539;201402081953+0100;188812
50.984203;3.5272534;201402082003+0100;1091656
50.984203;3.5272534;201402082028+0100;5823306
50.982094;3.526871;201402082211+0100;5611
50.97974;3.6411767;201402082220+0100;23808
51.043396;3.7251084;201402082236+0100;6947430
51.041492;3.729714;201402090040+0100;3337096
51.056995;3.7146337;201402090204+0100;41255828
51.144245;3.6016066;201402091350+0100;83740
51.2105;3.4914703;201402091411+0100;6255
51.258762;3.3834124;201402091417+0100;130925
51.341457;3.2899542;201402091427+0100;65277
51.34944;3.2886992;201402091519+0100;1164
51.35189;3.2891376;201402091525+0100;123489
51.352974;3.291139;201402091532+0100;76914
51.35344;3.2946475;201402091539+0100;1125
51.35431;3.2988238;201402091545+0100;247491
51.3559;3.3033361;201402091559+0100;1351078
51.355083;3.302209;201402091628+0100;264213
51.35582;3.3055134;201402091639+0100;483
51.35278;3.2895644;201402091658+0100;60095
51.351246;3.2887743;201402091705+0100;339
51.347065;3.2885513;201402091711+0100;120829
51.344173;3.2878857;201402091717+0100;537338
51.340847;3.2888596;201402091731+0100;221
51.316593;3.3058746;201402091746+0100;121284
51.31665;3.3059442;201402091752+0100;141203
51.31665;3.3059447;201402091800+0100;182822
51.33475;3.2905555;201402091809+0100;244
51.33475;3.2905555;201402091816+0100;190
51.33475;3.2905555;201402091826+0100;558411
51.21016;3.5278482;201402091839+0100;1544751
51.21571;4.414096;201402091917+0100;1192
51.214252;4.4116025;201402091924+0100;45810214
51.216366;4.3943706;201402100820+0100;4281332
51.21466;4.3921814;201402100937+0100;90479
51.229774;4.401806;201402100947+0100;5684955
51.22969;4.4043894;201402101131+0100;3779968
51.214733;4.3920097;201402101242+0100;470
51.216297;4.3941026;201402101249+0100;18191469
51.21426;4.411593;201402101801+0100;49642427
51.19276;4.4107666;201402110807+0100;506819
51.192932;4.4105897;201402110820+0100;1074135
51.216312;4.3941;201402110854+0100;7813510
51.2128;4.392599;201402111111+0100;301207
51.21426;4.411623;201402131507+0100;3807665
51.21808;4.4096603;201402131618+0100;65265
51.21812;4.411147;201402131625+0100;168
51.214264;4.411619;201402131635+0100;58294223
51.216297;4.3941026;201402140858+0100;29116149
51.21765;4.411343;201402141714+0100;399464
51.216896;4.410937;201402141725+0100;209696
51.214264;4.411637;201402141736+0100;12661426
51.21564;4.405074;201402142118+0100;17181949
51.215782;4.4076805;201402150209+0100;145175
51.214268;4.411629;201402150219+0100;2338514
51.214245;4.411593;201402150307+0100;52489978
51.211597;4.4019003;201402151750+0100;1132821
51.21425;4.4116297;201402151815+0100;1832286
51.213146;4.408834;201402151850+0100;80958
51.214256;4.4115944;201402151856+0100;54403542
51.21377;4.4042444;201402161012+0100;121179
51.21491;4.4099264;201402161022+0100;434453
51.214264;4.411602;201402161035+0100;14370539
